date,Quake,Aid,Relief,Help
20150524,16,1,72.2,31,14
20150624,22,1,67.7,3,23
20150724,17,3,69.4,3,17
20150824,10,2,68.0,3,19
20150924,10,3,72.4,2,10
20151024,5,2,77.0,1,5
